start_time,end_time,instrument_label
1.9505,282.1689,distorted electric guitar
1.9969,20.8980,electric bass
113.6385,121.0224,vocalists
121.1617,124.6912,vocalists
124.8769,131.2856,vocalists
127.6169,130.9605,vocalists
132.8181,138.7160,vocalists
140.9451,148.9328,vocalists
141.1773,149.3972,vocalists
148.3755,153.0659,vocalists
148.3755,168.9484,clean electric guitar
157.5706,159.4746,vocalists
163.8864,166.9515,vocalists
163.8864,166.9979,vocalists
196.4873,242.3234,male singer
2.0434,21.7339,drum set
208.5616,214.1344,vocalists
214.6453,235.2646,clean electric guitar
214.6917,219.3821,vocalists
218.7320,222.6794,vocalists
218.7320,271.5341,drum set
22.1518,22.8949,drum set
223.8868,225.7908,vocalists
225.6980,228.2986,vocalists
23.3128,24.0559,drum set
230.2026,233.3141,vocalists
230.2491,233.2212,vocalists
234.1965,234.4287,vocalists
237.6330,246.1315,vocalists
24.4738,25.1704,drum set
25.5884,26.3314,drum set
251.2399,269.2586,clean electric guitar
26.7494,218.4069,drum set
26.7958,30.0002,electric bass
260.4350,267.3546,vocalists
269.3979,275.9924,clean electric guitar
271.8592,274.1812,drum set
35.8980,281.7045,electric bass
38.8238,167.2766,male singer
56.8424,66.5020,vocalists
56.9353,61.1614,vocalists
69.7063,74.9540,vocalists
75.4649,82.8488,vocalists
77.1367,82.8952,vocalists
84.3813,89.0717,vocalists
84.6600,104.4898,clean electric guitar
93.5764,95.4805,vocalists
99.8922,103.0037,vocalists
99.9387,102.9108,vocalists
