start_time,end_time,instrument_label
1.0681,18.1116,piano
100.4495,104.8149,piano
104.3505,109.0409,female singer
106.3938,172.1992,piano
112.1059,116.2855,female singer
119.3970,126.8738,female singer
129.7067,165.8834,female singer
18.5760,26.8423,female singer
19.5976,22.7091,piano
23.5915,27.4460,piano
27.3995,36.2696,female singer
28.6534,31.7649,piano
32.9259,37.2448,piano
36.9197,74.7683,female singer
38.7309,54.0561,piano
54.5669,80.9912,piano
75.3255,84.1956,female singer
81.8271,82.7559,piano
85.5888,94.1337,female singer
86.7033,89.6755,piano
90.8829,94.6910,piano
94.6445,103.4217,female singer
95.9913,99.2421,piano
