start_time,end_time,instrument_label
0.0000,1.3003,accordion
0.0000,118.1896,fx/processed sound
0.0000,249.5681,mandolin
0.3251,2.6935,tabla
1.4861,6.8731,clean electric guitar
1.7647,3.3901,accordion
10.1239,11.7493,accordion
10.9598,16.0218,tabla
109.2731,217.9425,tabla
115.8211,136.1154,clean electric guitar
12.2137,13.8391,accordion
124.7840,148.7006,synthesizer
133.2825,317.6025,synthesizer
136.9513,186.0383,clean electric guitar
14.3035,15.8824,accordion
149.3507,265.4041,synthesizer
150.3724,318.5313,fx/processed sound
16.3933,17.9722,accordion
16.7184,17.8794,tabla
17.0899,492.6810,auxiliary percussion
18.4831,20.0620,accordion
18.5295,22.1054,tabla
186.2240,190.3107,clean electric guitar
190.9609,199.7845,clean electric guitar
20.5729,22.1518,accordion
200.0167,223.9332,clean electric guitar
21.5017,21.7339,tabla
219.1499,230.2491,tabla
219.5679,219.5679,tabla
22.4305,24.3345,tabla
22.6627,24.2416,accordion
220.1716,225.9302,tabla
224.2583,307.4322,clean electric guitar
228.9023,231.1779,tabla
230.5277,232.3853,tabla
233.4999,240.8838,tabla
233.8714,234.3358,tabla
236.0541,241.5340,tabla
24.7525,26.3314,accordion
24.9847,27.5853,tabla
241.1624,241.5340,tabla
242.0912,255.7446,tabla
242.1841,244.0417,tabla
244.8312,251.9365,tabla
249.9396,500.9009,mandolin
252.0758,258.2059,tabla
256.2090,277.6178,tabla
258.4381,268.7942,tabla
26.4707,26.6565,tabla
26.8423,28.4212,accordion
268.5620,481.8141,synthesizer
269.3050,271.0698,tabla
271.9057,278.2215,tabla
277.9429,297.7727,tabla
279.3825,282.6333,tabla
28.2355,28.8392,tabla
28.9321,30.5110,accordion
283.5156,298.8873,tabla
29.0714,29.3500,tabla
29.9537,31.9507,tabla
298.0049,299.2123,tabla
299.8625,307.6644,tabla
3.8545,5.4799,accordion
300.0947,307.2929,tabla
307.6644,502.5727,clean electric guitar
308.5003,507.3560,tabla
308.7790,504.8483,tabla
31.0219,32.6008,accordion
32.4615,36.2696,tabla
32.6473,33.4832,tabla
33.1117,450.9780,drum machine
33.1117,501.5975,accordion
333.6243,467.8821,synthesizer
35.6659,36.1767,tabla
350.7142,502.1547,fx/processed sound
36.8733,218.7784,tabla
37.0126,48.2046,clean electric guitar
39.3346,42.6783,synthesizer
39.6132,108.9016,tabla
4.0403,6.7338,tabla
4.9226,5.4799,tabla
43.0962,46.8579,synthesizer
47.2758,50.9446,synthesizer
48.9941,114.7995,clean electric guitar
483.3466,493.0990,synthesizer
493.3776,493.7027,auxiliary percussion
493.4240,496.6284,synthesizer
499.1361,503.5479,synthesizer
5.9443,7.5233,accordion
504.3839,506.3808,synthesizer
506.1021,506.4272,tabla
507.6811,508.3777,clean electric guitar
507.7275,511.3034,tabla
507.9597,508.1919,tabla
509.7244,510.4675,tabla
51.7341,63.4369,synthesizer
63.9478,66.5948,synthesizer
67.9880,123.6230,synthesizer
7.3839,36.2696,clean electric guitar
7.8019,8.7307,tabla
8.0805,117.2608,synthesizer
8.0805,9.6595,accordion
9.5666,9.7059,tabla
