start_time,end_time,instrument_label
0.2786,56.0530,guzheng
10.4954,12.2601,erhu
12.2601,54.8920,zhongruan
13.7462,15.1394,erhu
15.2787,16.9506,erhu
17.3685,56.0994,yangqin
18.2509,28.6534,erhu
19.9692,32.2293,dizi
29.6287,30.7897,erhu
31.7649,32.9259,erhu
33.0188,42.2139,dizi
33.8083,36.1767,erhu
36.7340,37.8950,erhu
38.2665,40.0312,erhu
4.6440,16.8112,yangqin
40.4956,43.7928,erhu
42.8640,49.8765,dizi
44.3966,47.5545,erhu
47.8795,52.8951,erhu
50.4337,53.5452,dizi
6.1765,7.2911,erhu
7.8019,9.1951,erhu
