start_time,end_time,instrument_label
0.6502,4.1332,auxiliary percussion
13.2818,22.6162,auxiliary percussion
14.9072,15.5574,erhu
15.9753,17.8794,erhu
18.1116,23.9630,erhu
23.0806,27.5389,dizi
23.4057,23.6379,auxiliary percussion
24.1023,49.0405,erhu
24.5203,24.6596,auxiliary percussion
25.5420,25.8206,auxiliary percussion
26.4707,34.8764,auxiliary percussion
28.5605,38.5451,dizi
35.2015,43.6071,auxiliary percussion
38.8702,50.1551,dizi
4.6440,22.5234,dizi
4.8298,58.4214,yangqin
4.8298,58.5143,guzheng
4.8762,13.1425,auxiliary percussion
43.9322,50.1087,auxiliary percussion
5.1548,7.0124,erhu
50.3409,56.8424,auxiliary percussion
51.4090,53.3595,erhu
7.3375,14.5821,erhu
