start_time,end_time,instrument_label
0.0000,265.6363,clean electric guitar
0.0000,274.5992,synthesizer
0.0000,68.0809,tack piano
0.0929,1.6254,auxiliary percussion
0.1858,10.1703,sampler
1.8112,22.1983,auxiliary percussion
10.5419,11.1920,sampler
10.7741,251.1935,electric bass
108.9016,126.4559,vocalists
123.9017,135.5117,vibraphone
124.0874,182.1373,tack piano
129.5673,146.8894,vocalists
144.7068,151.5334,vibraphone
145.7749,152.2765,sampler
149.7687,202.7102,vocalists
15.8360,69.9385,sampler
15.9289,30.0466,vibraphone
170.3880,274.8778,clean electric guitar
180.8834,242.6021,auxiliary percussion
187.9888,191.1467,male singer
198.2984,201.4099,male singer
210.8372,272.6487,tack piano
211.2551,242.8807,vocalists
211.3480,218.5927,male singer
22.4305,24.7989,auxiliary percussion
243.0665,247.9891,vocalists
248.3606,253.4226,vocalists
25.0311,29.9537,auxiliary percussion
26.4243,44.0250,vocalists
30.1395,35.1550,auxiliary percussion
35.3408,37.6163,auxiliary percussion
38.0343,40.2634,auxiliary percussion
40.5885,42.9569,auxiliary percussion
41.6102,49.0870,vibraphone
43.0498,47.9724,auxiliary percussion
47.1365,64.5979,vocalists
48.2975,50.6659,auxiliary percussion
50.7588,60.9292,auxiliary percussion
61.1149,61.6258,vibraphone
61.1614,67.1521,auxiliary percussion
62.3224,68.4989,vibraphone
66.6877,91.6259,vocalists
67.5701,244.4132,drum set
86.6569,127.2918,clean electric guitar
88.3287,150.3260,auxiliary percussion
