start_time,end_time,instrument_label
1.5790,3.9938,violin
1.7183,3.0650,violin
10.0310,12.7710,violin
10.0775,13.3747,cello
101.3783,104.1647,violin
104.8149,107.1833,violin
107.3691,123.5766,clarinet
107.7870,110.6663,violin
109.1338,112.1059,cello
11.0063,13.0496,violin
110.8521,120.4651,violin
114.9852,118.1896,cello
120.9295,124.4590,cello
121.3475,127.7098,violin
13.9784,17.5078,cello
135.9761,144.0566,cello
136.0225,146.8430,violin
136.0225,146.8894,violin
14.2571,17.7400,violin
14.5357,17.6007,violin
144.1959,146.5179,cello
146.0071,150.4653,clarinet
150.7439,152.7409,clarinet
153.9483,157.8957,clarinet
158.2672,189.9857,violin
158.3137,165.0010,clarinet
158.3137,196.2551,cello
158.3601,185.2024,violin
173.1280,194.2581,clarinet
18.9939,21.8732,violin
186.1312,187.6172,violin
188.0816,188.7782,violin
189.1498,190.7287,violin
19.0868,21.7339,violin
19.1797,22.1054,cello
190.3107,191.5182,violin
191.1931,194.3510,violin
191.7039,195.6978,piano
192.0290,192.5863,violin
193.8866,194.7225,violin
195.1869,195.6978,violin
195.1869,195.7442,violin
196.9517,199.6452,cello
197.1374,204.7071,clarinet
198.5771,201.5028,piano
199.5523,200.2489,violin
200.5740,200.9455,violin
201.8743,202.6173,piano
202.0600,205.3573,cello
203.5926,206.7505,violin
206.1468,273.6704,piano
206.7505,244.5526,cello
207.0291,213.3914,violin
207.1684,241.1160,violin
213.8558,235.8683,violin
216.2707,223.0044,clarinet
22.2447,22.3840,violin
22.6627,26.8423,cello
223.4224,225.5122,clarinet
225.8837,233.4070,clarinet
23.1271,25.6813,violin
23.4057,25.5420,violin
234.5215,238.3296,clarinet
236.6113,242.3699,violin
239.3049,244.1346,clarinet
24.9847,25.4026,piano
241.8590,243.4844,violin
242.7414,244.3204,violin
244.9705,264.6146,violin
244.9705,266.3793,cello
245.0634,264.8932,violin
246.4566,250.3111,clarinet
25.9135,29.8609,piano
251.3328,255.0944,clarinet
258.5310,262.5712,clarinet
263.6858,272.6023,clarinet
265.3112,268.2369,violin
265.4041,267.9583,violin
268.6549,271.9985,violin
269.0264,271.8592,violin
27.0280,29.5822,violin
27.2602,34.0405,cello
27.6317,29.0249,violin
273.3917,276.2710,cello
273.4846,276.8283,violin
273.6704,276.7819,violin
273.6704,277.7107,clarinet
274.4599,275.5280,piano
276.1781,277.8035,piano
278.1286,281.0543,cello
278.4073,282.0760,violin
278.5001,282.1224,violin
278.6859,283.2834,clarinet
278.7788,282.5404,piano
282.4940,286.0234,cello
283.0048,286.5342,piano
283.2370,286.8593,violin
283.4692,301.7665,clarinet
283.8407,287.3702,violin
286.9986,290.6674,cello
287.2308,288.4383,piano
288.0668,291.0854,violin
288.2061,290.9460,violin
290.0172,290.7138,piano
291.4569,295.4971,piano
292.0606,294.5219,cello
292.2463,295.4043,violin
292.3857,295.6365,violin
296.6117,301.8594,piano
296.9832,301.5343,violin
297.0297,300.0947,cello
297.3083,300.6520,violin
30.5110,32.2757,piano
302.1380,318.8100,piano
302.7882,305.7139,cello
302.7882,307.4322,clarinet
302.8811,307.0142,violin
303.2526,305.5282,violin
307.7108,317.8347,clarinet
307.8502,311.9833,cello
307.9895,311.8440,violin
308.0824,311.6118,violin
31.1612,34.1333,violin
31.2076,34.1798,violin
312.5870,316.0236,cello
313.0979,316.0236,violin
313.5623,316.2093,violin
34.7835,37.6163,cello
34.9228,35.6194,piano
35.0621,38.2200,violin
35.4337,46.5792,violin
35.9909,36.6875,piano
37.0126,43.0962,piano
37.8485,40.4956,cello
38.4522,46.5328,violin
41.0993,47.3687,cello
43.6535,44.6288,piano
45.4647,191.4253,piano
5.5728,8.4056,violin
6.2229,7.9412,violin
67.3379,97.2452,cello
67.6165,67.8487,violin
68.9168,69.3812,violin
69.4741,70.6815,violin
69.8456,70.4958,violin
71.2388,72.0283,violin
71.2853,71.5175,violin
71.7497,74.9076,violin
73.8395,75.5577,violin
75.9293,91.0222,violin
75.9293,91.2080,violin
86.3782,91.9510,clarinet
92.1368,129.0101,violin
92.6941,93.6229,violin
93.8551,96.4093,clarinet
94.4123,94.5052,violin
94.9696,100.9604,violin
96.7808,98.7312,clarinet
97.9418,105.9759,cello
99.1492,105.0006,clarinet
