start_time,end_time,instrument_label
0.7430,52.7557,oud
0.7895,15.7431,electric bass
0.7895,51.0375,piano
0.7895,52.3842,acoustic guitar
152.1836,200.3882,darbuka
158.5923,181.9051,piano
16.7184,199.7380,electric bass
16.8112,30.0931,darbuka
166.6264,182.3695,acoustic guitar
167.6481,200.7133,oud
182.5553,194.2117,acoustic guitar
182.7410,189.7070,piano
190.3572,194.0724,piano
194.2581,197.3232,piano
194.5368,197.3232,acoustic guitar
199.7380,288.9491,piano
2.3220,15.4180,darbuka
2.3684,3.0186,auxiliary percussion
202.8031,244.5061,acoustic guitar
203.1746,215.8063,oud
203.1746,231.8745,doumbek
203.2210,271.4413,electric bass
217.1530,222.1685,oud
223.1438,226.3481,oud
230.9921,237.4473,oud
231.3172,244.3668,darbuka
237.9117,271.9985,oud
243.5773,271.3948,acoustic guitar
245.2492,271.1626,darbuka
270.8376,285.8841,auxiliary percussion
273.7168,289.3671,acoustic guitar
274.2741,284.4444,darbuka
274.3205,288.7634,electric bass
279.1967,279.4754,claps
283.5156,289.5528,oud
286.7664,289.2742,darbuka
287.9739,288.4847,claps
31.2541,45.2325,darbuka
49.8765,52.4307,darbuka
51.5019,158.2208,piano
52.5700,68.3131,acoustic guitar
52.8022,56.9818,darbuka
53.1737,60.1397,oud
57.3068,60.2326,darbuka
60.7898,72.6785,darbuka
61.8115,74.8611,oud
68.5453,72.3998,acoustic guitar
72.6785,76.4401,acoustic guitar
73.2357,88.8395,darbuka
77.7404,87.4928,oud
77.7868,166.2549,acoustic guitar
88.0965,166.0691,oud
89.5826,92.4154,darbuka
93.6693,150.8368,darbuka
