start_time,end_time,instrument_label
0.0000,1.3003,drum machine
1.6718,4.2725,electric bass
100.2173,102.4929,synthesizer
100.8210,107.9263,electric bass
101.9820,103.8861,accordion
103.3752,104.9542,synthesizer
104.4898,106.4403,accordion
105.9294,107.5084,synthesizer
106.9976,108.9016,accordion
108.2050,115.4496,electric bass
108.4372,110.0161,synthesizer
109.5053,162.7254,accordion
11.2385,13.2818,mandolin
110.9914,112.5703,synthesizer
113.4991,115.0781,synthesizer
116.0069,117.5859,synthesizer
116.4249,120.4187,electric bass
118.5611,120.1400,synthesizer
12.2601,16.4862,drum machine
12.4923,13.7927,electric bass
121.0688,122.6014,synthesizer
121.3010,148.0969,electric bass
123.0193,125.2020,synthesizer
123.3908,127.6169,drum machine
125.5271,127.7562,synthesizer
128.0348,130.2639,synthesizer
128.0813,132.6788,drum machine
13.7462,15.8360,mandolin
130.5890,132.8181,synthesizer
133.0968,135.3259,synthesizer
133.5147,137.7408,drum machine
135.6045,137.8337,synthesizer
138.1587,140.3878,synthesizer
138.1587,163.0041,drum machine
14.9072,16.6719,electric bass
140.6665,142.0132,synthesizer
142.2919,162.7719,synthesizer
148.8863,150.6511,electric bass
151.2548,158.2208,electric bass
158.9638,160.7750,electric bass
16.2540,18.3438,mandolin
16.9041,61.9508,drum machine
161.4716,201.6421,electric bass
163.5149,165.3261,synthesizer
163.8400,168.0660,drum machine
166.0227,167.8803,synthesizer
168.4840,203.4068,drum machine
168.5304,170.3880,synthesizer
17.3685,21.0373,electric bass
171.0382,183.8556,synthesizer
18.7617,20.8515,mandolin
181.7658,321.8286,accordion
185.5274,188.9176,synthesizer
190.5894,193.9795,synthesizer
195.6049,199.0415,synthesizer
2.1362,6.3623,drum machine
20.5264,23.0342,accordion
200.6668,244.8776,synthesizer
203.7783,206.7969,electric bass
204.2427,208.4688,drum machine
206.3790,209.9548,mandolin
208.8867,213.5307,drum machine
209.4904,212.1839,electric bass
21.3159,23.4057,mandolin
21.9196,24.1488,electric bass
211.4409,215.0168,mandolin
214.3666,218.5927,drum machine
214.5059,217.4317,electric bass
216.5029,220.0323,mandolin
219.0106,264.0573,drum machine
219.0571,281.8902,electric bass
221.5184,222.3543,mandolin
223.3295,303.9492,mandolin
23.8237,25.9135,mandolin
23.9630,24.1488,accordion
24.9382,29.3036,electric bass
247.4318,249.8932,synthesizer
25.2633,28.0961,accordion
252.4473,254.9551,synthesizer
257.5093,260.0171,synthesizer
26.3779,28.4677,mandolin
262.5712,265.0790,synthesizer
262.7106,424.9716,tabla
264.8932,269.1193,drum machine
267.6332,270.1410,synthesizer
269.5372,274.1348,drum machine
272.6951,275.1565,synthesizer
274.9707,279.1967,drum machine
277.7107,280.2184,synthesizer
279.6611,304.4600,drum machine
28.7927,29.2571,accordion
28.8856,30.3717,mandolin
282.5868,284.5373,electric bass
282.7726,344.0268,synthesizer
285.0946,287.1380,electric bass
287.6488,289.5064,electric bass
289.7850,309.5220,electric bass
30.0466,82.7095,accordion
30.5110,35.4801,electric bass
30.7897,32.9259,mandolin
304.4136,305.8997,mandolin
305.2960,309.5220,drum machine
306.9678,308.4074,mandolin
309.5220,310.9616,mandolin
309.9400,314.5839,drum machine
310.5437,319.4137,electric bass
312.0298,313.4694,mandolin
314.5839,315.9771,mandolin
315.4199,319.6459,drum machine
317.0917,318.5313,mandolin
319.5995,321.0391,mandolin
319.9245,345.1414,electric bass
320.0639,344.9092,drum machine
322.1072,342.0764,accordion
322.1537,323.5933,mandolin
324.6614,326.1010,mandolin
327.2156,328.6088,mandolin
329.7234,331.1630,mandolin
33.2510,35.4801,mandolin
332.2311,333.6707,mandolin
334.7853,336.2249,mandolin
337.2931,338.7327,mandolin
339.8473,341.2405,mandolin
342.2621,431.7054,accordion
342.3550,343.7946,mandolin
344.5841,346.5810,synthesizer
345.7451,349.9247,drum machine
