start_time,end_time,instrument_label
0.1858,143.3600,piano
110.4341,111.9202,tack piano
112.1059,114.1029,tack piano
12.2601,23.0806,drum set
23.3593,131.8429,drum set
31.5327,71.1459,timpani
31.6256,48.1582,tack piano
31.6720,120.3258,snare drum
31.6720,70.7744,brass section
39.8454,84.7064,female singer
39.9383,44.6752,vocalists
4.2260,34.4584,female singer
48.0189,61.5793,vocalists
52.3378,64.6444,tack piano
64.4122,72.6320,vocalists
80.6661,85.0315,vocalists
81.2698,85.0779,tack piano
81.3163,120.2329,timpani
81.4092,124.6447,tenor saxophone
81.4556,120.4651,brass section
85.1708,89.2575,tack piano
93.8551,97.4309,tack piano
97.6167,106.0223,tack piano
97.7560,122.1834,vocalists
97.7560,141.3166,female singer
