start_time,end_time,instrument_label
105.4186,160.7750,piano
106.5332,115.8676,cello
115.2639,137.2764,trombone
118.0038,128.4992,cello
127.8491,161.3787,cello
129.0101,138.3445,cello
137.5086,160.9143,trombone
140.4807,150.9761,cello
151.5334,160.8214,cello
161.8431,194.2581,electric bass
172.3385,185.2024,fx/processed sound
185.6668,191.1931,cello
185.8990,191.6111,fx/processed sound
2.2756,77.7868,clean electric guitar
2.3220,77.7868,clean electric guitar
5.4799,188.9640,drum set
50.8517,54.8920,fx/processed sound
51.5019,54.6598,fx/processed sound
57.8641,61.6258,fx/processed sound
58.4214,61.5329,fx/processed sound
64.3193,68.1738,fx/processed sound
64.9694,68.4060,fx/processed sound
7.9412,77.8333,electric bass
71.0995,74.7218,fx/processed sound
71.0995,74.7683,fx/processed sound
77.3224,84.3349,fx/processed sound
77.3689,86.4247,fx/processed sound
77.8333,82.7559,fx/processed sound
80.1088,83.0810,fx/processed sound
82.6630,189.4748,clean electric guitar
82.7095,189.9392,clean electric guitar
82.8024,161.4251,electric bass
82.8952,161.0536,clarinet
92.8334,160.9607,trombone
95.5269,106.0223,cello
